naturalis_id,species_id
RMNH.5002536,28600
RMNH.5002540,28600
RMNH.INS.842013,28600
ZMA.INS.900826,28600
RMNH.5002393,22598
RMNH.5002399,5253
RMNH.5003130,5253
RMNH.INS.846682,5253
RMNH.INS.846693,5253
RMNH.5002416,23766
RMNH.5002515,23766
RMNH.5002425,1668
ZMA.INS.901462,1668
ZMA.INS.901655,1668
ZMA.INS.901656,1668
RMNH.5002430,2912
ZMA.INS.900791,2912
ZMA.INS.903011,2912
RMNH.5002436,23214
RMNH.INS.844822,23214
RMNH.INS.851193,23214
RMNH.5002445,21033
RMNH.INS.844412,21033
RMNH.INS.844417,21033
RMNH.INS.844419,21033
RMNH.INS.851297,21033
RMNH.INS.967632,21033
RMNH.5002461,243
RMNH.5002463,25983
RMNH.5003275,25983
RMNH.5003488,25983
RMNH.INS.843746,25983
RMNH.5002474,22470
